Price;Beds;Baths;Sq Ft;State;Street;City;Zip;Lot Size;Garage Spots;Walkability
475000.0;3.0;2.0;1366.0;;8107 NW 93rd Ave; Tamarac;FL 33321;;;
345500.0;2.0;2.5;1214.0;;5923 Riverside Ave #5923; Tamarac;FL 33321;;;
284000.0;2.0;2.0;1508.0;;7739 Southampton Ter #209; Tamarac;FL 33321;;;
549900.0;3.0;2.0;2067.0;;4511 Queen Palm Ln; Tamarac;FL 33319;;;
229000.0;2.0;2.0;1000.0;;9428 NW 65th St Unit C4; Tamarac;FL 33321;;;
209000.0;2.0;2.0;865.0;;6451 N University Dr #122; Tamarac;FL 33321;;;
159000.0;2.0;2.0;1275.0;;7763 Southampton Ter #314; Tamarac;FL 33321;;;
115000.0;1.0;1.5;870.0;;8120 SW 24th St #310; North Lauderdale;FL 33068;;;
160000.0;2.0;2.0;950.0;;9091 Lime Bay #304; Tamarac;FL 33331;;;
240000.0;2.0;1.5;1072.0;;8149 Lagos De Campo Blvd Unit B-1; Fort Lauderdale;FL 33321;;;
110000.0;1.0;1.0;700.0;;9201 Lime Bay Blvd #214; Tamarac;FL 33321;;;
209000.0;2.0;2.0;890.0;;212 Lake Pointe Dr #211; Oakland Park;FL 33309;;;
170500.0;2.0;2.0;940.0;;5190 E Sabal Palm Blvd #201; Tamarac;FL 33319;;;
379500.0;3.0;1.0;1122.0;;5840 NW 41st Ter; Fort Lauderdale;FL 33319;;;
200000.0;2.0;2.0;1096.0;;3453 NW 44th St #201; Oakland Park;FL 33309;;;
619000.0;4.0;2.0;1992.0;;4704 Bayberry Ln; Tamarac;FL 33319;;;
550000.0;3.0;2.0;1546.0;;9602 NW 66th St; Tamarac;FL 33321;7,500 sq ft lot;2 garage spots;
295000.0;2.0;1.5;1128.0;;4949 NW 48th Way; Tamarac;FL 33319;4,500 sq ft lot;;Car-dependent
615000.0;3.0;2.5;1754.0;;2102 N Appleton Cir N #2102; Oakland Park;FL 33309;;;
450000.0;2.0;2.0;1294.0;;9407 NW 81st Ct; Tamarac;FL 33321;6,819 sq ft lot;;
381500.0;2.0;2.0;1567.0;;5001 NW 50th St; Tamarac;FL 33319;6,166 sq ft lot;;
399000.0;2.0;1.0;1204.0;;9905 NW 71st St; Tamarac;FL 33321;;;
149000.0;2.0;1.5;981.0;;7777 Trent Dr #309; Tamarac;FL 33321;;;
195000.0;2.0;2.0;1096.0;;3449 NW 44th St #205; Lauderdale Lakes;FL 33309;;;
